GAMECATEGORY,SUBCATEGORY,GAME,MIN PLAYERS,MAX PLAYERS,MINAGE,LEARNING CURVE,POPULARITY,"URL#1","URL#2","URL#3","URL#4","URL#5","URL#6","URL#7","URL#8",NOTES,DATED ADDED
BOARD GAMES,STRATEGY,7 Wonders Duel ,2,2,10,,,https://sevenee.mattle.online/welcome,,,,,,,,,
BOARD GAMES,STRATEGY,Acquire ,2,6,12,Medium,Low,https://acquire.tlstyer.com/,,,,,,,,"Cult classic, rigorously implemented but lacking any design touches, so it feels like you're playing on a spreadsheet",
BOARD GAMES,,Advanced Civilization,2,8,12,,,http://civ.rol-play.com ,,,,,,,,,
BOARD GAMES,STRATEGY,Agricola ,1,5,12,Difficult,,http://play-agricola.com/,,,,,,,,,
BOARD GAMES,,Azul ,2,4,8,,,https://azee.mattle.online/,,,,,,,,,
BOARD GAMES,CLASSIC,Backgammon ,2,2,8,,,http://dailygammon.com/,https://www.playok.com/en/backgammon/,https://cardgames.io/backgammon/,,,,,,,
BOARD GAMES,CLASSIC,Battleship ,2,2,8,Easy,High,http://en.battleship-game.org/,,,,,,,,,
BOARD GAMES,STRATEGY,Blokus ,2,4,5,Easy,,https://blokee.mattle.online/,,,,,,,,,
BOARD GAMES,,Board Game Online ,1,16,17,,,https://www.boardgame-online.com/,,,,,,,,,
BOARD GAMES,,Brass ,2,4,14,,,http://brass.orderofthehammer.com/,,,,,,,,,
BOARD GAMES,,Century: Spice Road,2,5,8,,,https://spicee.mattle.online/,,,,,,,,,
BOARD GAMES,CLASSIC,Checkers ,2,2,6,Easy,,http://playingcards.io/game/checkers,https://cardgames.io/checkers/,https://www.playok.com/en/checkers/,,,,,,,
BOARD GAMES,CLASSIC,Chess ,2,2,6,Medium,High,https://lichess.org/,https://www.playok.com/en/chess/,,,,,,,,
BOARD GAMES,,Decrypto ,3,8,12,,,https://whoawhoa.github.io/decrypto/,,,,,,,,,
BOARD GAMES,,Diplomacy ,2,7,12,,,http://webdiplomacy.net/,https://www.backstabbr.com/,https://www.playdiplomacy.com/,,,,,,,
BOARD GAMES,DECK BUILDER,Dominion ,2,4,13,Difficult,, https://dominion.games/,,,,,,,,"Faster and more fun online than in-person. Interface is a little sketchy, you do have to pay a monthly fee for the more advanced decks.",
BOARD GAMES,,Draughts ,2,2,6,,,https://www.playok.com/en/draughts/,,,,,,,,,
BOARD GAMES,CLASSIC,GO ,2,2,8,Difficult,High,https://go.mattle.online/,https://www.playok.com/en/go/,https://online-go.com/,,,,,,,
BOARD GAMES,,Go-Moku ,2,2,8,,,https://www.playok.com/en/gomoku/,,,,,,,,,
BOARD GAMES,,Ludo ,2,4,8,,,https://www.playok.com/en/ludo/,,,,,,,,,
BOARD GAMES,,Makruk ,2,2,8,,,https://www.playok.com/en/makruk/,,,,,,,,,
